<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20200103,1240,261.3100000,261.4000000,261.2600000,261.4000000,181550
GAZP,5,20200103,1245,261.3500000,261.4600000,260.9100000,261.4300000,535750
GAZP,5,20200103,1250,261.3500000,261.5300000,261.2200000,261.3800000,182380
GAZP,5,20200103,1255,261.3300000,261.6800000,261.3300000,261.5000000,517870
GAZP,5,20200103,1300,261.5400000,261.8200000,261.4400000,261.6700000,194500
GAZP,5,20200103,1305,261.7400000,261.7500000,261.4500000,261.4600000,113860
GAZP,5,20200103,1310,261.4900000,261.5900000,261.2000000,261.3000000,217460
GAZP,5,20200103,1315,261.3600000,261.5400000,260.9400000,261.3200000,795890
GAZP,5,20200103,1320,261.3200000,261.5200000,261.2300000,261.3800000,137320
GAZP,5,20200103,1325,261.3200000,261.3300000,261.1000000,261.2000000,78190
GAZP,5,20200103,1330,261.2000000,261.4300000,261.1800000,261.4200000,80050
GAZP,5,20200103,1335,261.3800000,261.6800000,261.3400000,261.6000000,206030
GAZP,5,20200103,1340,261.6000000,261.6900000,261.5100000,261.5900000,107830
GAZP,5,20200103,1345,261.5900000,261.6000000,261.4200000,261.4400000,72890
GAZP,5,20200103,1350,261.4000000,261.4000000,261.0700000,261.1200000,143330
GAZP,5,20200103,1355,261.2000000,261.2000000,261.0700000,261.1800000,54150
GAZP,5,20200103,1400,261.2000000,261.5000000,261.1400000,261.4200000,46360
GAZP,5,20200103,1405,261.4300000,261.5700000,261.3200000,261.3700000,57760
GAZP,5,20200103,1410,261.3700000,261.3700000,261.1000000,261.1700000,70390
GAZP,5,20200103,1415,261.1800000,261.1800000,260.7200000,260.8700000,408720
GAZP,5,20200103,1420,260.9000000,261.0900000,260.7200000,260.7200000,173320
GAZP,5,20200103,1425,260.7200000,260.9000000,260.6600000,260.7000000,93470
GAZP,5,20200103,1430,260.7500000,260.7500000,260.5000000,260.5800000,165400
GAZP,5,20200103,1435,260.5800000,260.7000000,260.4700000,260.4900000,178520
GAZP,5,20200103,1440,260.4600000,260.4600000,259.8000000,259.8900000,870030
GAZP,5,20200103,1445,259.8900000,260.0000000,259.7300000,259.8300000,342900
GAZP,5,20200103,1450,259.8300000,259.8300000,259.4300000,259.5300000,361020
GAZP,5,20200103,1455,259.5400000,259.8700000,259.4500000,259.6900000,268500
GAZP,5,20200103,1500,259.6300000,259.6300000,259.0400000,259.0700000,605370
GAZP,5,20200103,1505,259.0700000,259.1700000,258.7600000,258.9600000,759730
GAZP,5,20200103,1510,258.9700000,259.1400000,258.8000000,259.1400000,165290
GAZP,5,20200103,1515,259.1400000,259.1400000,259.0300000,259.0300000,117040
GAZP,5,20200103,1520,259.0500000,259.0800000,258.8400000,259.0800000,122140
GAZP,5,20200103,1525,259.0200000,259.0600000,258.9000000,258.9400000,92180
GAZP,5,20200103,1530,258.9300000,258.9700000,258.3600000,258.5800000,464740
GAZP,5,20200103,1535,258.5800000,258.7200000,258.5500000,258.6300000,70960
GAZP,5,20200103,1540,258.6300000,258.6600000,258.5000000,258.5800000,84200
GAZP,5,20200103,1545,258.5700000,258.7500000,258.5700000,258.6600000,123590
GAZP,5,20200103,1550,258.6500000,258.6900000,258.4600000,258.5700000,156350
GAZP,5,20200103,1555,258.5500000,258.8900000,258.5500000,258.7300000,245630
GAZP,5,20200103,1600,258.7200000,258.8800000,258.6300000,258.6700000,143830
GAZP,5,20200103,1605,258.7300000,258.9800000,258.6200000,258.8900000,196370
GAZP,5,20200103,1610,258.8900000,259.0800000,258.8300000,259.0800000,212160
GAZP,5,20200103,1615,259.0700000,259.0700000,258.7600000,258.8400000,128080
GAZP,5,20200103,1620,258.8500000,258.9300000,258.7000000,258.7700000,58560
GAZP,5,20200103,1625,258.8300000,258.9100000,258.6100000,258.6500000,112870
GAZP,5,20200103,1630,258.6400000,258.8000000,258.6100000,258.6200000,84710
GAZP,5,20200103,1635,258.6200000,258.6900000,258.5700000,258.6000000,74260
GAZP,5,20200103,1640,258.6600000,258.7800000,258.5500000,258.7800000,78470
GAZP,5,20200103,1645,258.7800000,258.7800000,258.6000000,258.6100000,125370
GAZP,5,20200103,1650,258.7100000,258.7100000,258.5000000,258.6000000,434640
GAZP,5,20200103,1655,258.5900000,258.6900000,258.4700000,258.6600000,348080
GAZP,5,20200103,1700,258.6600000,258.7700000,258.6200000,258.7300000,92510
GAZP,5,20200103,1705,258.7800000,258.9100000,258.7400000,258.8600000,113300
GAZP,5,20200103,1710,258.8500000,258.8600000,258.5700000,258.5700000,142690
GAZP,5,20200103,1715,258.5700000,258.6500000,258.3400000,258.6000000,243870
GAZP,5,20200103,1720,258.6000000,258.6000000,258.2400000,258.3200000,165280
GAZP,5,20200103,1725,258.3400000,258.4000000,257.7700000,258.0800000,503110
GAZP,5,20200103,1730,258.0800000,258.6100000,258.0500000,258.5600000,252880
GAZP,5,20200103,1735,258.5600000,258.7300000,258.1400000,258.2400000,351590
GAZP,5,20200103,1740,258.2900000,258.7300000,258.2900000,258.6700000,121400
GAZP,5,20200103,1745,258.7300000,259.0000000,258.6700000,258.9300000,236100
GAZP,5,20200103,1750,258.9400000,259.3000000,258.8300000,259.1800000,247210
GAZP,5,20200103,1755,259.1800000,259.5500000,259.1000000,259.5000000,388480
GAZP,5,20200103,1800,259.4500000,259.5500000,259.2300000,259.2300000,531500
GAZP,5,20200103,1805,259.2300000,259.5000000,259.1400000,259.5000000,128010
GAZP,5,20200103,1810,259.5000000,259.5000000,259.3100000,259.4000000,148590
GAZP,5,20200103,1815,259.4400000,259.5000000,259.2900000,259.3200000,138120
GAZP,5,20200103,1820,259.2900000,259.3800000,258.9300000,259.2500000,762570
GAZP,5,20200103,1825,259.2500000,259.2500000,258.7700000,258.8000000,282640
GAZP,5,20200103,1830,258.8000000,258.8900000,258.6000000,258.6700000,426390
GAZP,5,20200103,1835,258.6700000,258.8400000,258.5000000,258.5800000,564680
GAZP,5,20200103,1845,259.0000000,259.0000000,259.0000000,259.0000000,2327070
GAZP,5,20200106,1000,258.9100000,258.9600000,256.6600000,256.8000000,1485420
GAZP,5,20200106,1005,256.8800000,257.3400000,256.0700000,256.3600000,1389700
GAZP,5,20200106,1010,256.3000000,256.9300000,256.0000000,256.4600000,1881580
GAZP,5,20200106,1015,256.4500000,256.6900000,256.3000000,256.6900000,161320
GAZP,5,20200106,1020,256.6900000,256.7500000,256.2800000,256.3100000,282030
GAZP,5,20200106,1025,256.3100000,256.4400000,256.0600000,256.2100000,287790
GAZP,5,20200106,1030,256.1900000,256.4800000,256.0600000,256.2800000,143560
GAZP,5,20200106,1035,256.3700000,256.7800000,256.2800000,256.5700000,222350
GAZP,5,20200106,1040,256.5600000,256.6300000,256.3300000,256.5000000,92750
GAZP,5,20200106,1045,256.5200000,256.7100000,256.3300000,256.7100000,87980
GAZP,5,20200106,1050,256.7100000,257.0900000,256.5700000,256.9100000,162010
GAZP,5,20200106,1055,256.9100000,257.3400000,256.5600000,256.5700000,224990
GAZP,5,20200106,1100,256.6600000,257.2100000,256.5600000,256.9600000,283990
GAZP,5,20200106,1105,257.0000000,257.1900000,256.6600000,257.1500000,153300
GAZP,5,20200106,1110,257.0900000,257.5500000,257.0000000,257.0300000,345000
GAZP,5,20200106,1115,257.0300000,257.3000000,256.8700000,257.1700000,204040
GAZP,5,20200106,1120,257.2900000,257.5600000,257.2200000,257.5400000,178670
GAZP,5,20200106,1125,257.5300000,257.5600000,257.0100000,257.2000000,162420
GAZP,5,20200106,1130,257.2000000,257.3200000,256.8200000,256.8200000,442290
GAZP,5,20200106,1135,256.8900000,257.0500000,256.5000000,256.5300000,359650
GAZP,5,20200106,1140,256.5400000,256.5700000,256.3000000,256.5100000,379940
GAZP,5,20200106,1145,256.4900000,256.6300000,256.3000000,256.3000000,503310
GAZP,5,20200106,1150,256.3800000,256.3800000,256.0100000,256.0900000,724110
GAZP,5,20200106,1155,256.0900000,256.3100000,256.0100000,256.1600000,280880
GAZP,5,20200106,1200,256.1100000,256.3000000,256.0400000,256.2900000,100500
GAZP,5,20200106,1205,256.2900000,256.2900000,256.0200000,256.0500000,149550
GAZP,5,20200106,1210,256.0300000,256.2400000,255.9000000,256.1800000,769110
GAZP,5,20200106,1215,256.1800000,256.3400000,256.0800000,256.2100000,93600
GAZP,5,20200106,1220,256.2100000,256.2500000,255.8000000,255.9800000,282740
GAZP,5,20200106,1225,255.9900000,255.9900000,255.5700000,255.7000000,486410
GAZP,5,20200106,1230,255.7000000,255.8000000,255.5000000,255.6500000,340390
GAZP,5,20200106,1235,255.6500000,255.7000000,255.4200000,255.7000000,369600
GAZP,5,20200106,1240,255.6700000,256.0500000,255.5500000,256.0400000,200360
GAZP,5,20200106,1245,255.9900000,256.0500000,255.8500000,256.0500000,134670
GAZP,5,20200106,1250,256.0500000,256.4400000,256.0000000,256.2800000,290620
GAZP,5,20200106,1255,256.2200000,256.3000000,256.0500000,256.0500000,272910
GAZP,5,20200106,1300,256.0600000,256.2300000,256.0200000,256.1300000,123530
GAZP,5,20200106,1305,256.0700000,256.0700000,255.7500000,255.9200000,218420
GAZP,5,20200106,1310,256.0000000,256.0900000,255.8800000,255.9100000,83320
GAZP,5,20200106,1315,255.9000000,255.9700000,255.6700000,255.8500000,97740
GAZP,5,20200106,1320,255.8500000,255.9200000,255.7000000,255.8700000,90460
GAZP,5,20200106,1325,255.8800000,256.0500000,255.8000000,255.9300000,118130
GAZP,5,20200106,1330,255.9300000,256.0500000,255.8700000,255.8800000,101190
GAZP,5,20200106,1335,255.9600000,256.0000000,255.8300000,255.9100000,33550
GAZP,5,20200106,1340,255.9400000,256.0500000,255.8700000,255.9800000,57920
GAZP,5,20200106,1345,255.9800000,256.0000000,255.7600000,255.7900000,80540
GAZP,5,20200106,1350,255.7900000,255.8800000,255.7500000,255.8800000,44230
GAZP,5,20200106,1355,255.8200000,255.9000000,255.7100000,255.8100000,71970
GAZP,5,20200106,1400,255.8700000,255.9400000,255.8200000,255.8900000,44390
GAZP,5,20200106,1405,255.8200000,255.8900000,255.5800000,255.7900000,231350
GAZP,5,20200106,1410,255.7900000,255.8400000,255.5500000,255.6600000,141190
GAZP,5,20200106,1415,255.7600000,255.8900000,255.6600000,255.8900000,58620
GAZP,5,20200106,1420,255.8900000,256.0500000,255.8400000,256.0500000,143090
GAZP,5,20200106,1425,256.0500000,256.2500000,255.8700000,255.9600000,157710
GAZP,5,20200106,1430,255.9700000,255.9700000,255.8700000,255.8900000,6020
GAZP,5,20200106,1435,255.8700000,256.1200000,255.8700000,256.0600000,145900
GAZP,5,20200106,1440,256.0600000,256.3300000,256.0600000,256.3300000,83280
GAZP,5,20200106,1445,256.3300000,256.3300000,256.0600000,256.1600000,38570
GAZP,5,20200106,1450,256.1000000,256.4300000,256.1000000,256.3100000,86770
GAZP,5,20200106,1455,256.3400000,256.3800000,256.1100000,256.1100000,106630
GAZP,5,20200106,1500,256.1500000,256.1500000,255.8600000,255.9100000,175910
GAZP,5,20200106,1505,255.9100000,255.9900000,255.8100000,255.8800000,243520
GAZP,5,20200106,1510,255.8700000,255.8700000,255.5500000,255.7100000,210070
GAZP,5,20200106,1515,255.7400000,255.9100000,255.5500000,255.5500000,206820
GAZP,5,20200106,1520,255.5500000,255.6800000,255.5300000,255.5700000,224790
GAZP,5,20200106,1525,255.5700000,255.7000000,255.5400000,255.5600000,57850
GAZP,5,20200106,1530,255.5600000,255.7000000,255.3200000,255.6500000,344600
GAZP,5,20200106,1535,255.6500000,255.8200000,255.6100000,255.6100000,76270
GAZP,5,20200106,1540,255.6300000,255.8200000,255.5500000,255.7300000,220620
GAZP,5,20200106,1545,255.7300000,255.7700000,255.1500000,255.2300000,310160
GAZP,5,20200106,1550,255.2300000,255.2600000,255.0100000,255.2400000,505210
GAZP,5,20200106,1555,255.2100000,255.3000000,255.0400000,255.0500000,291380
GAZP,5,20200106,1600,255.0800000,255.2400000,254.9200000,255.0800000,559800
GAZP,5,20200106,1605,255.0800000,255.3000000,255.0500000,255.1200000,91860
GAZP,5,20200106,1610,255.1300000,255.1600000,254.9100000,254.9200000,217300
GAZP,5,20200106,1615,254.9100000,255.1500000,254.8000000,255.0300000,478020
GAZP,5,20200106,1620,255.0600000,255.0800000,254.8500000,254.9500000,89160
GAZP,5,20200106,1625,254.9300000,255.1600000,254.9000000,255.1000000,80650
GAZP,5,20200106,1630,255.0900000,255.2700000,255.0500000,255.1700000,133740
GAZP,5,20200106,1635,255.2000000,255.2000000,255.0100000,255.0200000,118810
GAZP,5,20200106,1640,255.0900000,255.1500000,255.0100000,255.1100000,59890
GAZP,5,20200106,1645,255.1400000,255.2800000,255.1000000,255.2000000,232140
GAZP,5,20200106,1650,255.1900000,255.3000000,255.0900000,255.1000000,288690
GAZP,5,20200106,1655,255.0800000,255.2400000,255.0300000,255.2000000,90220
GAZP,5,20200106,1700,255.1700000,255.1700000,254.9500000,255.0600000,537490
GAZP,5,20200106,1705,255.0600000,255.0900000,255.0000000,255.0600000,113930
GAZP,5,20200106,1710,255.0600000,255.0900000,254.9500000,255.0000000,252300
GAZP,5,20200106,1715,255.0700000,255.0700000,254.9600000,255.0500000,90830
GAZP,5,20200106,1720,255.0600000,255.2000000,254.9500000,254.9800000,237880
GAZP,5,20200106,1725,254.9700000,255.1400000,254.9500000,255.0900000,83640
GAZP,5,20200106,1730,255.1000000,255.1900000,255.0400000,255.1000000,96010
GAZP,5,20200106,1735,255.1000000,255.2000000,255.0400000,255.2000000,77080
GAZP,5,20200106,1740,255.1500000,255.5900000,255.1000000,255.3500000,381750
GAZP,5,20200106,1745,255.4000000,255.5100000,255.3000000,255.3600000,121820
GAZP,5,20200106,1750,255.3800000,255.9900000,255.3600000,255.8300000,391770
GAZP,5,20200106,1755,255.8200000,255.8200000,255.4600000,255.6900000,151580
GAZP,5,20200106,1800,255.7100000,256.0000000,255.6800000,255.9300000,238550
GAZP,5,20200106,1805,255.9100000,255.9600000,255.8400000,255.9100000,97390
GAZP,5,20200106,1810,255.9000000,255.9900000,255.8000000,255.9700000,158820
GAZP,5,20200106,1815,255.9700000,256.0000000,255.8700000,255.9800000,117080
GAZP,5,20200106,1820,255.9800000,256.0500000,255.9100000,255.9200000,214040
GAZP,5,20200106,1825,255.9200000,256.0200000,255.8000000,255.9100000,180620
GAZP,5,20200106,1830,255.9100000,255.9800000,255.8300000,255.8400000,119850
GAZP,5,20200106,1835,255.8400000,255.8800000,255.6700000,255.8300000,282740
GAZP,5,20200106,1845,256.5500000,256.5500000,256.5500000,256.5500000,2560000
GAZP,5,20200108,1000,256.2500000,256.2500000,255.6500000,255.8500000,712580
GAZP,5,20200108,1005,255.8800000,255.9100000,254.7700000,255.3500000,466020
GAZP,5,20200108,1010,255.4000000,255.9700000,255.3100000,255.9600000,284470
GAZP,5,20200108,1015,255.9600000,256.4900000,255.9600000,256.3000000,447920
GAZP,5,20200108,1020,256.3000000,256.9400000,256.2800000,256.9300000,577290
GAZP,5,20200108,1025,256.9300000,257.0000000,256.6000000,256.8600000,194600
GAZP,5,20200108,1030,256.8800000,257.3200000,256.8400000,257.0800000,337360
GAZP,5,20200108,1035,257.0700000,257.2000000,256.7000000,256.8600000,331160
GAZP,5,20200108,1040,256.8600000,257.1200000,256.6100000,256.8300000,256630
GAZP,5,20200108,1045,256.8300000,256.8400000,256.1900000,256.5500000,156850
GAZP,5,20200108,1050,256.5000000,256.5300000,255.8000000,256.0000000,577470
GAZP,5,20200108,1055,255.9600000,256.2500000,255.9500000,256.2000000,173980
GAZP,5,20200108,1100,256.1700000,256.4000000,255.9400000,256.0700000,389490
GAZP,5,20200108,1105,255.9900000,256.1700000,255.4000000,256.1400000,696300
GAZP,5,20200108,1110,256.1200000,256.1200000,255.7200000,256.0000000,201170
GAZP,5,20200108,1115,255.9400000,256.1000000,255.6500000,255.6800000,270360
GAZP,5,20200108,1120,255.6500000,255.7400000,255.3800000,255.7000000,531560
GAZP,5,20200108,1125,255.6900000,255.7800000,255.5700000,255.7500000,127310
GAZP,5,20200108,1130,255.7400000,255.9100000,255.6100000,255.9000000,144280
GAZP,5,20200108,1135,255.8900000,255.9300000,255.6600000,255.7800000,116550
GAZP,5,20200108,1140,255.7600000,256.0700000,255.5800000,255.9600000,162840
GAZP,5,20200108,1145,255.9600000,255.9900000,255.7600000,255.8800000,65100
GAZP,5,20200108,1150,255.8100000,255.8700000,255.5900000,255.6100000,245030
GAZP,5,20200108,1155,255.6400000,255.7000000,255.3000000,255.5100000,566460
GAZP,5,20200108,1200,255.3900000,255.7200000,255.1600000,255.5500000,659700
GAZP,5,20200108,1205,255.5500000,255.9500000,255.5300000,255.7600000,239400
GAZP,5,20200108,1210,255.7600000,256.0800000,255.4700000,255.5400000,290020
GAZP,5,20200108,1215,255.5400000,255.6400000,255.4100000,255.5000000,449780
GAZP,5,20200108,1220,255.5000000,255.5300000,255.4100000,255.5000000,187980
GAZP,5,20200108,1225,255.5000000,255.5100000,255.3400000,255.3500000,179260
GAZP,5,20200108,1230,255.3500000,255.4300000,255.2200000,255.4200000,190100
GAZP,5,20200108,1235,255.3800000,255.5500000,255.3700000,255.5500000,87460
GAZP,5,20200108,1240,255.5500000,255.6100000,255.5000000,255.5900000,158680
GAZP,5,20200108,1245,255.5700000,255.5700000,255.2700000,255.3400000,323730
GAZP,5,20200108,1250,255.3400000,255.4000000,255.2600000,255.3300000,182610
GAZP,5,20200108,1255,255.3400000,255.4600000,255.2100000,255.2600000,344730
GAZP,5,20200108,1300,255.2600000,255.6600000,255.1800000,255.5500000,364620
GAZP,5,20200108,1305,255.5400000,255.6700000,255.2700000,255.4000000,194710
GAZP,5,20200108,1310,255.4200000,255.7500000,255.2900000,255.4800000,125910
GAZP,5,20200108,1315,255.4700000,255.5000000,255.3100000,255.4700000,150640
GAZP,5,20200108,1320,255.4100000,255.5600000,255.3600000,255.5000000,85320
GAZP,5,20200108,1325,255.4500000,255.7100000,255.3400000,255.5700000,130350
GAZP,5,20200108,1330,255.5900000,255.7500000,255.5100000,255.6300000,62460
GAZP,5,20200108,1335,255.6500000,255.7800000,255.6500000,255.6900000,62570
GAZP,5,20200108,1340,255.6700000,255.8600000,255.5500000,255.6200000,136850
GAZP,5,20200108,1345,255.6200000,256.1100000,255.5300000,255.6700000,358150
GAZP,5,20200108,1350,255.6700000,255.6700000,255.4600000,255.5000000,122440
GAZP,5,20200108,1355,255.5000000,255.6200000,255.4600000,255.5900000,49570
GAZP,5,20200108,1400,255.6100000,255.7000000,255.5000000,255.6000000,208690
GAZP,5,20200108,1405,255.5800000,255.6800000,255.4000000,255.5300000,211170
GAZP,5,20200108,1410,255.5400000,255.6300000,255.3700000,255.4500000,124570
GAZP,5,20200108,1415,255.4600000,255.5500000,255.4000000,255.4200000,52720
GAZP,5,20200108,1420,255.4100000,255.5800000,255.4000000,255.4400000,105050
GAZP,5,20200108,1425,255.4400000,255.4800000,255.3200000,255.3800000,139620
GAZP,5,20200108,1430,255.3800000,255.5200000,255.2500000,255.3200000,467680
GAZP,5,20200108,1435,255.3200000,255.3700000,255.1800000,255.2600000,597200
GAZP,5,20200108,1440,255.2600000,255.3200000,255.1600000,255.2400000,260800
GAZP,5,20200108,1445,255.2400000,255.3400000,255.1300000,255.2100000,176010
GAZP,5,20200108,1450,255.2100000,255.2500000,255.1300000,255.1500000,243700
GAZP,5,20200108,1455,255.1600000,255.2500000,255.0400000,255.1000000,390450
GAZP,5,20200108,1500,255.1300000,255.2200000,255.0600000,255.1600000,99670
GAZP,5,20200108,1505,255.1200000,255.3600000,255.0700000,255.3000000,94930
GAZP,5,20200108,1510,255.2900000,255.3000000,255.0800000,255.2000000,83990
GAZP,5,20200108,1515,255.2000000,255.2600000,255.1400000,255.2100000,37390
GAZP,5,20200108,1520,255.2100000,255.2400000,255.1300000,255.1600000,81280
GAZP,5,20200108,1525,255.1600000,255.3000000,255.1000000,255.2000000,92610
GAZP,5,20200108,1530,255.2400000,255.3600000,255.1300000,255.1800000,49380
GAZP,5,20200108,1535,255.2000000,255.2400000,255.1000000,255.1900000,156780
GAZP,5,20200108,1540,255.2200000,255.5800000,255.1900000,255.5200000,296490
GAZP,5,20200108,1545,255.5100000,255.7300000,255.3100000,255.3100000,284990
GAZP,5,20200108,1550,255.3000000,255.4500000,255.2400000,255.3100000,85770
GAZP,5,20200108,1555,255.3100000,255.3800000,255.2300000,255.2900000,61050
GAZP,5,20200108,1600,255.2900000,255.2900000,255.0800000,255.1700000,195960
GAZP,5,20200108,1605,255.1400000,255.4100000,255.1000000,255.3500000,86330
GAZP,5,20200108,1610,255.3400000,255.4800000,255.3000000,255.4100000,61030
GAZP,5,20200108,1615,255.4100000,255.6000000,255.4000000,255.5400000,84210
GAZP,5,20200108,1620,255.5300000,255.5300000,255.1500000,255.2600000,224500
GAZP,5,20200108,1625,255.2600000,255.5200000,255.2600000,255.4900000,60120
GAZP,5,20200108,1630,255.5000000,255.6000000,255.3900000,255.5300000,105450
GAZP,5,20200108,1635,255.5200000,255.5900000,255.4400000,255.5200000,94270
GAZP,5,20200108,1640,255.5000000,255.5300000,255.4300000,255.4900000,111100
GAZP,5,20200108,1645,255.4900000,255.5200000,255.0800000,255.1900000,537580
GAZP,5,20200108,1650,255.1800000,255.2300000,255.1400000,255.1800000,120290
GAZP,5,20200108,1655,255.1800000,255.3500000,255.1600000,255.3200000,116280
GAZP,5,20200108,1700,255.3200000,255.5500000,255.1700000,255.2400000,337530
GAZP,5,20200108,1705,255.2300000,255.5000000,255.2000000,255.3400000,262580
GAZP,5,20200108,1710,255.3500000,255.4800000,255.3500000,255.3800000,110830
GAZP,5,20200108,1715,255.3600000,255.4100000,255.3000000,255.3600000,110080
GAZP,5,20200108,1720,255.3400000,255.8000000,255.3300000,255.7900000,307370
GAZP,5,20200108,1725,255.7600000,255.9500000,255.7500000,255.8300000,360470
GAZP,5,20200108,1730,255.8300000,255.9000000,255.6300000,255.8000000,250980
GAZP,5,20200108,1735,255.7300000,255.8000000,255.6600000,255.8000000,117500
GAZP,5,20200108,1740,255.7700000,255.8000000,255.5400000,255.6600000,136090
GAZP,5,20200108,1745,255.6100000,255.6900000,255.2700000,255.4100000,289670
GAZP,5,20200108,1750,255.4500000,255.4900000,255.3700000,255.4900000,96190
GAZP,5,20200108,1755,255.4900000,255.7900000,255.4900000,255.5900000,166540
GAZP,5,20200108,1800,255.5900000,255.5900000,255.3400000,255.4500000,123740
GAZP,5,20200108,1805,255.4500000,255.5300000,255.3400000,255.4600000,133760
GAZP,5,20200108,1810,255.4400000,255.5500000,255.3900000,255.5200000,115380
GAZP,5,20200108,1815,255.5100000,255.5600000,255.3100000,255.3500000,140030
GAZP,5,20200108,1820,255.4000000,255.5500000,255.3600000,255.4600000,181870
GAZP,5,20200108,1825,255.4900000,255.5400000,255.3800000,255.3900000,203050
GAZP,5,20200108,1830,255.3700000,255.4400000,255.2500000,255.3200000,349240
GAZP,5,20200108,1835,255.3300000,255.3900000,255.2600000,255.3000000,351850
GAZP,5,20200108,1845,255.7900000,255.7900000,255.7900000,255.7900000,2053290
GAZP,5,20200109,1000,255.6600000,256.1000000,255.3300000,255.9300000,603680
GAZP,5,20200109,1005,255.9300000,256.1700000,255.7500000,256.0700000,345990
GAZP,5,20200109,1010,256.0700000,256.4000000,256.0400000,256.3800000,353140
GAZP,5,20200109,1015,256.3800000,256.6800000,256.3200000,256.4400000,487230
GAZP,5,20200109,1020,256.5500000,256.6000000,256.2500000,256.4900000,137400
GAZP,5,20200109,1025,256.4800000,256.6200000,256.3300000,256.5500000,217200
GAZP,5,20200109,1030,256.5200000,256.5600000,256.1900000,256.3400000,189270
GAZP,5,20200109,1035,256.3400000,256.4600000,256.2200000,256.3800000,138730
GAZP,5,20200109,1040,256.3600000,256.4000000,256.0100000,256.0100000,139280
GAZP,5,20200109,1045,256.0100000,256.2500000,255.8700000,256.1500000,292500
GAZP,5,20200109,1050,256.1400000,256.1900000,255.8700000,255.9500000,137960
GAZP,5,20200109,1055,255.9500000,256.2000000,255.8700000,256.2000000,188210
GAZP,5,20200109,1100,256.2000000,256.2000000,255.1100000,255.4800000,802390
GAZP,5,20200109,1105,255.5000000,255.8000000,254.2000000,254.2500000,1616750
GAZP,5,20200109,1110,254.2100000,254.3700000,253.8000000,254.2500000,1195270
GAZP,5,20200109,1115,254.2500000,254.5300000,254.1000000,254.1000000,348680
GAZP,5,20200109,1120,254.0900000,254.3300000,253.9000000,254.1100000,440840
GAZP,5,20200109,1125,254.1200000,254.1500000,253.8500000,254.0000000,376450
GAZP,5,20200109,1130,254.0700000,254.4300000,253.8500000,254.3700000,468900
GAZP,5,20200109,1135,254.3100000,254.5000000,254.0500000,254.1900000,175520
GAZP,5,20200109,1140,254.1300000,254.3000000,254.0000000,254.1100000,279320
GAZP,5,20200109,1145,254.1500000,254.1500000,253.8100000,253.9600000,372350
GAZP,5,20200109,1150,253.9600000,254.2100000,253.9300000,254.0200000,289870
